plan_code,Plan_Name,NAV_Value,NAV_Date,,0
D1,Direct Dividend,12.18,01/01/2013,,
D1,Direct Dividend,12.28,02/01/2013,,
D1,Direct Dividend,12.32,03/01/2013,,
D1,Direct Dividend,12.35,04/01/2013,,
D1,Direct Dividend,12.28,07/01/2013,,
D1,Direct Dividend,12.34,08/01/2013,,
D1,Direct Dividend,12.28,09/01/2013,,
D1,Direct Dividend,12.29,10/01/2013,,
D1,Direct Dividend,12.25,11/01/2013,,
D1,Direct Dividend,12.37,14/01/2013,,
D1,Direct Dividend,12.41,15/01/2013,,
D1,Direct Dividend,12.28,16/01/2013,,
D1,Direct Dividend,12.33,17/01/2013,,
D1,Direct Dividend,12.39,18/01/2013,,
D1,Direct Dividend,12.38,21/01/2013,,
D1,Direct Dividend,12.33,22/01/2013,,
D1,Direct Dividend,12.33,23/01/2013,,
D1,Direct Dividend,12.25,24/01/2013,,
D1,Direct Dividend,12.38,25/01/2013,,
D1,Direct Dividend,12.38,28/01/2013,,
D1,Direct Dividend,12.33,29/01/2013,,
D1,Direct Dividend,12.35,30/01/2013,,
D1,Direct Dividend,12.33,31/01/2013,,
D1,Direct Dividend,12.27,01/02/2013,,
D1,Direct Dividend,12.29,04/02/2013,,
D1,Direct Dividend,11.03,05/02/2013,,
D1,Direct Dividend,11.05,06/02/2013,,
D1,Direct Dividend,11.02,07/02/2013,,
D1,Direct Dividend,10.99,08/02/2013,,
D1,Direct Dividend,10.94,11/02/2013,,
D1,Direct Dividend,10.99,12/02/2013,,
D1,Direct Dividend,11.03,13/02/2013,,
D1,Direct Dividend,11.01,14/02/2013,,
D1,Direct Dividend,11.02,15/02/2013,,
D1,Direct Dividend,11.03,18/02/2013,,
D1,Direct Dividend,11.07,19/02/2013,,
D1,Direct Dividend,11.09,20/02/2013,,
D1,Direct Dividend,10.99,21/02/2013,,
D1,Direct Dividend,10.97,22/02/2013,,
D1,Direct Dividend,10.98,25/02/2013,,
D1,Direct Dividend,10.87,26/02/2013,,
D1,Direct Dividend,10.91,27/02/2013,,
D1,Direct Dividend,10.79,28/02/2013,,
D1,Direct Dividend,10.84,01/03/2013,,
D1,Direct Dividend,10.82,04/03/2013,,
D1,Direct Dividend,10.93,05/03/2013,,
